Date,Close
2020-05-21,1790.96
2020-05-22,1802.31
2020-05-26,1820.51
2020-05-27,1847.31
2020-05-28,1804.66
2020-05-29,1852.49
2020-06-01,1843.24
2020-06-02,1883.41
2020-06-03,1937.47
2020-06-04,1953.47
2020-06-05,2003.76
2020-06-08,1998.62
2020-06-09,1998.09
2020-06-10,2004.66
2020-06-11,1876.66
2020-06-12,1903.85
2020-06-15,1931.01
2020-06-16,1965.69
2020-06-17,1984.08
2020-06-18,1980.14
2020-06-19,1966.79
2020-06-22,1983.36
2020-06-23,1987.73
2020-06-24,1944.30
2020-06-25,1961.05
2020-06-26,1921.92
2020-06-29,1943.90
2020-06-30,1996.44
2020-07-01,1966.98
2020-07-02,1993.61
2020-07-06,2046.81
2020-07-07,2019.77
2020-07-08,2049.76
2020-07-09,2076.72
2020-07-10,2069.79
2020-07-13,2034.14
2020-07-14,2069.79
2020-07-15,2064.17
2020-07-16,2055.92
2020-07-17,2068.99
2020-07-20,2110.47
2020-07-21,2096.59
2020-07-22,2105.43
2020-07-23,2070.97
2020-07-24,2038.71
2020-07-27,2104.62
2020-07-28,2060.40
2020-07-29,2106.30
2020-07-30,2147.55
2020-07-31,2136.41
2020-08-03,2177.27
2020-08-04,2209.81
2020-08-05,2207.56
2020-08-06,2204.94
2020-08-07,2178.86
2020-08-10,2179.60
2020-08-11,2154.79
2020-08-12,2227.22
2020-08-13,2202.41
2020-08-14,2200.81
2020-08-17,2227.61
2020-08-18,2214.66
2020-08-19,2200.77
2020-08-20,2181.04
2020-08-21,2198.33
2020-08-24,2219.37
2020-08-25,2243.06
2020-08-26,2250.23
2020-08-27,2220.15
2020-08-28,2264.14
2020-08-31,2260.43
2020-09-01,2304.68
2020-09-02,2370.18
2020-09-03,2234.23
2020-09-04,2212.73
2020-09-08,2108.61
2020-09-09,2169.61
2020-09-10,2137.78
2020-09-11,2136.37
2020-09-14,2181.75
2020-09-15,2219.19
2020-09-16,2195.54
2020-09-17,2194.15
2020-09-18,2160.97
2020-09-21,2154.28
2020-09-22,2180.26
2020-09-23,2126.69
2020-09-24,2147.42
2020-09-25,2177.84
2020-09-28,2237.64
2020-09-29,2242.52
2020-09-30,2244.12
2020-10-01,2291.77
2020-10-02,2221.12
2020-10-05,2295.56
2020-10-06,2281.09
2020-10-07,2328.84
2020-10-08,2356.16
2020-10-09,2398.04
2020-10-12,2433.48
2020-10-13,2430.13
2020-10-14,2417.20
2020-10-15,2411.13
2020-10-16,2399.76
2020-10-19,2385.85
2020-10-20,2385.82
2020-10-21,2367.26
2020-10-22,2370.45
2020-10-23,2360.23
2020-10-26,2308.45
2020-10-27,2300.91
2020-10-28,2222.98
2020-10-29,2283.65
2020-10-30,2246.15
2020-11-02,2260.07
2020-11-03,2302.73
2020-11-04,2384.22
2020-11-05,2489.16
2020-11-06,2529.27
2020-11-09,2497.59
2020-11-10,2422.33
2020-11-11,2511.24
2020-11-12,2478.43
2020-11-13,2508.82
2020-11-16,2570.98
2020-11-17,2548.96
2020-11-18,2530.59
2020-11-19,2570.22
